Date,^GSPC,^RUT,^NDX
2020-06-16 00:00:00+00:00,3124.739990234375,1452.260009765625,9949.3701171875
2020-06-17 00:00:00+00:00,3113.489990234375,1426.530029296875,9982.48046875
2020-06-18 00:00:00+00:00,3115.340087890625,1427.3299560546875,10012.0498046875
2020-06-19 00:00:00+00:00,3097.739990234375,1418.6300048828125,10008.6396484375
2020-06-22 00:00:00+00:00,3117.860107421875,1433.530029296875,10130.330078125
2020-06-23 00:00:00+00:00,3131.2900390625,1439.3399658203125,10209.8203125
2020-06-24 00:00:00+00:00,3050.330078125,1389.739990234375,10002.7001953125
2020-06-25 00:00:00+00:00,3083.760009765625,1413.31005859375,10101.830078125
2020-06-26 00:00:00+00:00,3009.050048828125,1378.780029296875,9849.3603515625
2020-06-29 00:00:00+00:00,3053.239990234375,1421.2099609375,9961.16015625
2020-06-30 00:00:00+00:00,3100.2900390625,1441.3699951171875,10156.849609375
2020-07-01 00:00:00+00:00,3115.860107421875,1427.31005859375,10279.25
2020-07-02 00:00:00+00:00,3130.010009765625,1431.8599853515625,10341.8896484375
2020-07-06 00:00:00+00:00,3179.719970703125,1442.8800048828125,10604.0595703125
2020-07-07 00:00:00+00:00,3145.320068359375,1416.0,10524.009765625
2020-07-08 00:00:00+00:00,3169.93994140625,1427.4000244140625,10666.7001953125
2020-07-09 00:00:00+00:00,3152.050048828125,1398.9200439453125,10754.58984375
2020-07-10 00:00:00+00:00,3185.0400390625,1422.6800537109375,10836.330078125
2020-07-13 00:00:00+00:00,3155.219970703125,1403.5699462890625,10602.2099609375
2020-07-14 00:00:00+00:00,3197.52001953125,1428.260009765625,10689.51953125
2020-07-15 00:00:00+00:00,3226.56005859375,1478.27001953125,10701.6796875
2020-07-16 00:00:00+00:00,3215.570068359375,1467.56005859375,10626.4599609375
2020-07-17 00:00:00+00:00,3224.72998046875,1473.3199462890625,10645.2197265625
2020-07-20 00:00:00+00:00,3251.840087890625,1467.949951171875,10952.080078125
2020-07-21 00:00:00+00:00,3257.300048828125,1487.510009765625,10833.0703125
2020-07-22 00:00:00+00:00,3276.02001953125,1490.1400146484375,10870.75
2020-07-23 00:00:00+00:00,3235.659912109375,1490.199951171875,10580.58984375
2020-07-24 00:00:00+00:00,3215.6298828125,1467.550048828125,10483.1298828125
2020-07-27 00:00:00+00:00,3239.409912109375,1484.6500244140625,10674.3798828125
2020-07-28 00:00:00+00:00,3218.43994140625,1469.760009765625,10532.5
2020-07-29 00:00:00+00:00,3258.43994140625,1500.6300048828125,10662.98046875
2020-07-30 00:00:00+00:00,3246.219970703125,1495.0999755859375,10715.509765625
2020-07-31 00:00:00+00:00,3271.1201171875,1480.4300537109375,10905.8798828125
2020-08-03 00:00:00+00:00,3294.610107421875,1506.800048828125,11055.080078125
2020-08-04 00:00:00+00:00,3306.510009765625,1517.2099609375,11096.5400390625
2020-08-05 00:00:00+00:00,3327.77001953125,1546.239990234375,11125.4404296875
2020-08-06 00:00:00+00:00,3349.159912109375,1544.6199951171875,11267.080078125
2020-08-07 00:00:00+00:00,3351.280029296875,1569.1800537109375,11139.3896484375
2020-08-10 00:00:00+00:00,3360.469970703125,1584.6700439453125,11085.169921875
2020-08-11 00:00:00+00:00,3333.68994140625,1575.0999755859375,10876.080078125
2020-08-12 00:00:00+00:00,3380.35009765625,1583.25,11157.7197265625
2020-08-13 00:00:00+00:00,3373.429931640625,1579.7900390625,11178.3701171875
2020-08-14 00:00:00+00:00,3372.85009765625,1577.8800048828125,11164.4501953125
2020-08-17 00:00:00+00:00,3381.989990234375,1585.469970703125,11288.5703125
2020-08-18 00:00:00+00:00,3389.780029296875,1569.77001953125,11399.0302734375
2020-08-19 00:00:00+00:00,3374.85009765625,1572.0699462890625,11318.6396484375
2020-08-20 00:00:00+00:00,3385.510009765625,1564.300048828125,11477.0498046875
2020-08-21 00:00:00+00:00,3397.159912109375,1552.47998046875,11555.16015625
2020-08-24 00:00:00+00:00,3431.280029296875,1568.469970703125,11626.169921875
2020-08-25 00:00:00+00:00,3443.6201171875,1571.2099609375,11721.8095703125
2020-08-26 00:00:00+00:00,3478.72998046875,1560.18994140625,11971.9404296875
2020-08-27 00:00:00+00:00,3484.550048828125,1564.56005859375,11926.16015625
2020-08-28 00:00:00+00:00,3508.010009765625,1578.3399658203125,11995.849609375
2020-08-31 00:00:00+00:00,3500.31005859375,1561.8800048828125,12110.7001953125
2020-09-01 00:00:00+00:00,3526.64990234375,1578.5799560546875,12292.8603515625
2020-09-02 00:00:00+00:00,3580.840087890625,1592.2900390625,12420.5400390625
2020-09-03 00:00:00+00:00,3455.06005859375,1544.6800537109375,11771.3701171875
2020-09-04 00:00:00+00:00,3426.9599609375,1535.300048828125,11622.1298828125
2020-09-08 00:00:00+00:00,3331.840087890625,1504.5899658203125,11068.259765625
2020-09-09 00:00:00+00:00,3398.9599609375,1526.47998046875,11395.849609375
2020-09-10 00:00:00+00:00,3339.18994140625,1507.75,11154.1201171875
2020-09-11 00:00:00+00:00,3340.969970703125,1497.27001953125,11087.400390625
